init	chloros_removed	mitos_removed	pruned			
AP5-80-T1-C	319909	28796	28562	28363		
AP5-81-T2-C	153910	26240	26229	25717		
AP5-82-T2-C	278408	112825	112790	112273		
AP5-83-T2-C	302011	51430	51397	51091		
AP5-84-T2-C	243311	25772	25772	25456		
AP5-85-T2-C	355216	25586	25556	25509		
AP5-86-T3-C	263260	153834	153668	153555		
AP5-87-T3-C	306285	122488	122074	121611		
AP5-88-T3-C	162049	120860	120436	119764		
AP5-89-T3-C	226506	43816	41497	40861		
AP5-90-T3-C	253540	86066	85010	84784		
AP5-91-T4-C	248061	219882	219841	219221		
AP5-92-T4-C	279189	152178	152178	151994		
AP5-93-T4-C	204678	118186	117970	116711		
AP5-94-T4-C	173462	151863	151791	150775		
AP5-95-T4-C	211868	195015	194850	194303		
AP5-96-T0-K	273491	12557	12547	12377		
AP5-97-T0-K	300912	24016	23123	22805		
AP5-98-T0-K	328987	98591	98543	98402		
AP5-99-T0-K	316974	90697	90681	90493		
OF3-100-T0-K	204489	133108	133046	132311		
OF3-101-T1-K	303555	266513	266513	265882		
OF3-102-T1-K	176718	149376	149138	147397		
OF3-103-T1-K	161818	135170	135084	134571		
OF3-104-T1-K	226952	176870	176870	176253		
OF3-105-T1-K	225349	223720	223720	222944		
OF3-106-T2-K	274416	270036	270036	269779		
OF3-107-T2-K	370362	356483	356483	356360		
OF3-108-T2-K	332329	332128	332128	331882		
OF3-109-T2-K	180059	147529	147377	144440		
OF3-110-T2-K	218230	196300	196197	194237		
OF3-111-T3-K	229968	222126	222116	221929		
OF3-112-T3-K	162485	119835	119300	118372		
OF3-113-T3-K	267200	232214	231937	231696		
OF3-114-T3-K	198389	103200	102499	102136		
OF3-115-T3-K	216967	205101	205034	204826		
OF3-116-T4-K	310118	301157	300897	300468		
OF3-117-T4-K	143644	143147	143147	142751		
OF3-118-T4-K	194682	155929	155200	153203		
OF3-119-T4-K	598115	590521	590508	590327		
OF3-120-T4-K	294156	285629	285609	285091		
OF3-71-T0-C	394267	372388	372336	370088		
OF3-72-T0-C	415842	409078	409021	408879		
OF3-73-T0-C	378918	366650	366388	365428		
OF3-74-T0-C	306682	290909	290818	290261		
OF3-75-T0-C	322680	316495	316495	316406		
OF3-76-T1-C	274073	266565	266405	266098		
OF3-77-T1-C	345476	337743	337730	337332		
OF3-78-T1-C	253620	249946	249932	249303		
OF3-79-T1-C	209249	201915	201886	201219		
OF3-80-T1-C	219598	162284	162275	161920		
OF3-81-T2-C	352652	331802	331781	331316		
OF3-82-T2-C	232109	199701	199062	195893		
OF3-83-T2-C	386445	337713	337713	337366		
OF3-84-T2-C	315660	312531	312531	311952		
OF3-85-T2-C	305361	301958	301406	300786		
OF3-86-T3-C	139021	127412	127105	126889		
OF3-87-T3-C	364458	347724	347538	347406		
OF3-88-T3-C	247399	208071	207560	206281		
OF3-89-T3-C	209999	149340	148848	148133		
OF3-90-T3-C	176444	139008	138440	135553		
OF3-91-T4-C	308481	306093	306083	305879		
OF3-92-T4-C	480783	478171	478169	477692		
OF3-93-T4-C	213266	185495	185465	184354		
OF3-94-T4-C	388136	386454	386454	386268		
OF3-95-T4-C	261090	254173	254143	253087		
OF3-96-T0-K	199932	179144	179112	177454		
OF3-97-T0-K	198580	193310	193236	192451		
OF3-98-T0-K	331888	324652	324587	323811		
OF3-99-T0-K	197644	129920	129028	126211		
OF61-100-T0-K	191162	189136	189118	188870		
OF61-101-T1-K	184230	181366	181366	180801		
OF61-102-T1-K	248127	246095	246095	245005		
OF61-103-T1-K	225405	216091	215999	215619		
OF61-104-T1-K	186242	146019	146010	144938		
OF61-105-T1-K	122373	119286	119069	118760		
OF61-106-T2-K	301162	298611	298601	298267		
OF61-107-T2-K	194944	190303	190280	189314		
OF61-108-T2-K	227326	226802	226775	226635		
OF61-109-T2-K	124287	120241	120241	119664		
OF61-110-T2-K	210999	209029	208888	207128		
OF61-111-T3-K	291909	283942	283868	283399		
OF61-112-T3-K	199616	189441	189129	188827		
OF61-113-T3-K	187731	131402	131078	129935		
OF61-114-T3-K	187250	181830	181749	181506		
OF61-115-T3-K	281192	277137	277057	276559		
OF61-116-T4-K	285521	285009	285009	284721		
OF61-117-T4-K	286598	261155	261010	259863		
OF61-118-T4-K	328479	326919	326888	326739		
OF61-119-T4-K	233194	230378	230296	229600		
OF61-120-T4-K	290171	284883	284883	284259		
OF61-71-T0-C	198946	187750	187681	186149		
OF61-72-T0-C	235985	235656	235652	235448		
OF61-73-T0-C	263103	262627	262627	262424		
OF61-74-T0-C	242452	241185	241182	240991		
OF61-75-T0-C	237951	237050	237050	236869		
OF61-76-T1-C	234525	232857	232857	232538		
OF61-77-T1-C	207508	185147	185039	183916		
OF61-78-T1-C	221839	220451	220427	219895		
OF61-79-T1-C	212994	203755	203745	203567		
OF61-80-T1-C	191376	189761	189742	189142		
OF61-81-T2-C	300841	292257	292257	291752		
OF61-82-T2-C	259418	258283	258265	257766		
OF61-83-T2-C	210345	152697	152681	152189		
OF61-84-T2-C	302111	298531	298527	297747		
OF61-85-T2-C	227601	222281	222242	220759		
OF61-86-T3-C	148495	145649	145616	144981		
OF61-87-T3-C	224399	192631	192375	191555		
OF61-88-T3-C	273850	261338	261139	260994		
OF61-89-T3-C	157110	121254	120971	119021		
OF61-90-T3-C	197349	147946	147553	145758		
OF61-91-T4-C	293625	293143	293140	293043		
OF61-92-T4-C	385865	385555	385555	385179		
OF61-93-T4-C	252713	252204	252204	251864		
OF61-94-T4-C	363208	362483	362465	362222		
OF61-95-T4-C	266305	262724	262724	262168		
OF61-96-T0-K	173932	147993	147881	146280		
OF61-97-T0-K	353643	348569	348521	347209		
OF61-98-T0-K	167855	158158	158158	157973		
OF61-99-T0-K	206313	201750	201741	201499		
	213960.9675	126829.1475	126708.5675	126191.595		
	85584387	50731659	50683427	50476638		
			init	chloros_removed	mitos_removed	pruned
			213960.9675	126829.1475	126708.5675	126191.595
